Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
01.01.2026,UTC,00:00,00:15,AEP-Schätzer,Betrieblich,EUR/MWh,92.52,0.0
01.01.2026,UTC,00:15,00:30,AEP-Schätzer,Betrieblich,EUR/MWh,86.36,1.0
01.01.2026,UTC,00:30,00:45,AEP-Schätzer,Betrieblich,EUR/MWh,110.76,0.0
01.01.2026,UTC,00:45,01:00,AEP-Schätzer,Betrieblich,EUR/MWh,109.0,0.0
01.01.2026,UTC,01:00,01:15,AEP-Schätzer,Betrieblich,EUR/MWh,102.86,0.0
01.01.2026,UTC,01:15,01:30,AEP-Schätzer,Betrieblich,EUR/MWh,86.07,0.0
01.01.2026,UTC,01:30,01:45,AEP-Schätzer,Betrieblich,EUR/MWh,105.25,0.0
01.01.2026,UTC,01:45,02:00,AEP-Schätzer,Betrieblich,EUR/MWh,140.56,0.0
01.01.2026,UTC,02:00,02:15,AEP-Schätzer,Betrieblich,EUR/MWh,126.09,0.0
01.01.2026,UTC,02:15,02:30,AEP-Schätzer,Betrieblich,EUR/MWh,-49.48,0.0
01.01.2026,UTC,02:30,02:45,AEP-Schätzer,Betrieblich,EUR/MWh,-6.89,0.0
01.01.2026,UTC,02:45,03:00,AEP-Schätzer,Betrieblich,EUR/MWh,74.66,0.0
01.01.2026,UTC,03:00,03:15,AEP-Schätzer,Betrieblich,EUR/MWh,17.53,0.0
01.01.2026,UTC,03:15,03:30,AEP-Schätzer,Betrieblich,EUR/MWh,21.05,0.0
01.01.2026,UTC,03:30,03:45,AEP-Schätzer,Betrieblich,EUR/MWh,25.74,0.0
01.01.2026,UTC,03:45,04:00,AEP-Schätzer,Betrieblich,EUR/MWh,30.69,0.0
01.01.2026,UTC,04:00,04:15,AEP-Schätzer,Betrieblich,EUR/MWh,61.36,0.0
01.01.2026,UTC,04:15,04:30,AEP-Schätzer,Betrieblich,EUR/MWh,40.72,0.0
01.01.2026,UTC,04:30,04:45,AEP-Schätzer,Betrieblich,EUR/MWh,26.37,0.0
01.01.2026,UTC,04:45,05:00,AEP-Schätzer,Betrieblich,EUR/MWh,13.66,0.0
01.01.2026,UTC,05:00,05:15,AEP-Schätzer,Betrieblich,EUR/MWh,-31.12,0.0
01.01.2026,UTC,05:15,05:30,AEP-Schätzer,Betrieblich,EUR/MWh,12.13,0.0
01.01.2026,UTC,05:30,05:45,AEP-Schätzer,Betrieblich,EUR/MWh,38.77,0.0
01.01.2026,UTC,05:45,06:00,AEP-Schätzer,Betrieblich,EUR/MWh,14.07,0.0
01.01.2026,UTC,06:00,06:15,AEP-Schätzer,Betrieblich,EUR/MWh,58.0,0.0
01.01.2026,UTC,06:15,06:30,AEP-Schätzer,Betrieblich,EUR/MWh,18.84,0.0
01.01.2026,UTC,06:30,06:45,AEP-Schätzer,Betrieblich,EUR/MWh,46.55,0.0
01.01.2026,UTC,06:45,07:00,AEP-Schätzer,Betrieblich,EUR/MWh,38.49,0.0
01.01.2026,UTC,07:00,07:15,AEP-Schätzer,Betrieblich,EUR/MWh,40.87,2.0
