Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,Deutschland,AEP Knappheitskomponente,Mrl-Mol-Abweichung,Srl-Mol-Abweichung
01.01.2026,UTC,00:00,00:15,NRV-Saldo,Betrieblich,MW,204.683,0.0,0.0,0.0
01.01.2026,UTC,00:15,00:30,NRV-Saldo,Betrieblich,MW,720.96,0.0,0.0,0.0
01.01.2026,UTC,00:30,00:45,NRV-Saldo,Betrieblich,MW,628.052,0.0,0.0,0.0
01.01.2026,UTC,00:45,01:00,NRV-Saldo,Betrieblich,MW,1015.772,0.0,0.0,0.0
01.01.2026,UTC,01:00,01:15,NRV-Saldo,Betrieblich,MW,605.569,0.0,0.0,0.0
01.01.2026,UTC,01:15,01:30,NRV-Saldo,Betrieblich,MW,753.946,0.0,0.0,0.0
01.01.2026,UTC,01:30,01:45,NRV-Saldo,Betrieblich,MW,892.11,0.0,0.0,0.0
01.01.2026,UTC,01:45,02:00,NRV-Saldo,Betrieblich,MW,696.521,0.0,0.0,0.0
01.01.2026,UTC,02:00,02:15,NRV-Saldo,Betrieblich,MW,84.688,0.0,0.0,0.0
01.01.2026,UTC,02:15,02:30,NRV-Saldo,Betrieblich,MW,-240.98,0.0,0.0,0.0
01.01.2026,UTC,02:30,02:45,NRV-Saldo,Betrieblich,MW,-277.892,0.0,0.0,0.0
01.01.2026,UTC,02:45,03:00,NRV-Saldo,Betrieblich,MW,10.108,0.0,0.0,0.0
01.01.2026,UTC,03:00,03:15,NRV-Saldo,Betrieblich,MW,-224.184,0.0,0.0,0.0
01.01.2026,UTC,03:15,03:30,NRV-Saldo,Betrieblich,MW,216.122,0.0,0.0,0.0
01.01.2026,UTC,03:30,03:45,NRV-Saldo,Betrieblich,MW,703.307,0.0,0.0,0.0
01.01.2026,UTC,03:45,04:00,NRV-Saldo,Betrieblich,MW,760.145,0.0,0.0,0.0
01.01.2026,UTC,04:00,04:15,NRV-Saldo,Betrieblich,MW,401.368,0.0,0.0,0.0
01.01.2026,UTC,04:15,04:30,NRV-Saldo,Betrieblich,MW,-22.219,0.0,0.0,0.0
01.01.2026,UTC,04:30,04:45,NRV-Saldo,Betrieblich,MW,-30.547,0.0,0.0,0.0
01.01.2026,UTC,04:45,05:00,NRV-Saldo,Betrieblich,MW,-316.433,0.0,0.0,0.0
01.01.2026,UTC,05:00,05:15,NRV-Saldo,Betrieblich,MW,-548.552,0.0,0.0,0.0
01.01.2026,UTC,05:15,05:30,NRV-Saldo,Betrieblich,MW,-137.611,0.0,0.0,0.0
01.01.2026,UTC,05:30,05:45,NRV-Saldo,Betrieblich,MW,234.502,0.0,0.0,0.0
01.01.2026,UTC,05:45,06:00,NRV-Saldo,Betrieblich,MW,34.855,0.0,0.0,0.0
01.01.2026,UTC,06:00,06:15,NRV-Saldo,Betrieblich,MW,168.274,0.0,0.0,0.0
01.01.2026,UTC,06:15,06:30,NRV-Saldo,Betrieblich,MW,-6.291,0.0,0.0,0.0
01.01.2026,UTC,06:30,06:45,NRV-Saldo,Betrieblich,MW,214.53,0.0,0.0,0.0
01.01.2026,UTC,06:45,07:00,NRV-Saldo,Betrieblich,MW,243.494,0.0,0.0,0.0
01.01.2026,UTC,07:00,07:15,NRV-Saldo,Betrieblich,MW,357.747,0.0,0.0,0.0
01.01.2026,UTC,07:15,07:30,NRV-Saldo,Betrieblich,MW,261.46,0.0,0.0,0.0
01.01.2026,UTC,07:30,07:45,NRV-Saldo,Betrieblich,MW,-315.935,0.0,0.0,0.0
01.01.2026,UTC,07:45,08:00,NRV-Saldo,Betrieblich,MW,-803.781,0.0,0.0,0.0
01.01.2026,UTC,08:00,08:15,NRV-Saldo,Betrieblich,MW,-968.448,0.0,0.0,0.0
01.01.2026,UTC,08:15,08:30,NRV-Saldo,Betrieblich,MW,-787.98,0.0,0.0,0.0
01.01.2026,UTC,08:30,08:45,NRV-Saldo,Betrieblich,MW,-341.051,0.0,0.0,0.0
01.01.2026,UTC,08:45,09:00,NRV-Saldo,Betrieblich,MW,-709.887,0.0,0.0,0.0
01.01.2026,UTC,09:00,09:15,NRV-Saldo,Betrieblich,MW,-191.019,0.0,0.0,0.0
01.01.2026,UTC,09:15,09:30,NRV-Saldo,Betrieblich,MW,-651.424,0.0,0.0,0.0
01.01.2026,UTC,09:30,09:45,NRV-Saldo,Betrieblich,MW,-418.941,0.0,0.0,0.0
01.01.2026,UTC,09:45,10:00,NRV-Saldo,Betrieblich,MW,-171.645,0.0,0.0,0.0
01.01.2026,UTC,10:00,10:15,NRV-Saldo,Betrieblich,MW,-44.725,0.0,0.0,0.0
01.01.2026,UTC,10:15,10:30,NRV-Saldo,Betrieblich,MW,-134.143,0.0,0.0,0.0
01.01.2026,UTC,10:30,10:45,NRV-Saldo,Betrieblich,MW,-410.204,0.0,0.0,0.0
01.01.2026,UTC,10:45,11:00,NRV-Saldo,Betrieblich,MW,-88.724,0.0,0.0,0.0
01.01.2026,UTC,11:00,11:15,NRV-Saldo,Betrieblich,MW,-77.943,0.0,0.0,0.0
01.01.2026,UTC,11:15,11:30,NRV-Saldo,Betrieblich,MW,-306.485,0.0,0.0,0.0
01.01.2026,UTC,11:30,11:45,NRV-Saldo,Betrieblich,MW,-370.589,0.0,0.0,0.0
01.01.2026,UTC,11:45,12:00,NRV-Saldo,Betrieblich,MW,-661.381,0.0,0.0,0.0
01.01.2026,UTC,12:00,12:15,NRV-Saldo,Betrieblich,MW,-337.22,0.0,0.0,0.0
01.01.2026,UTC,12:15,12:30,NRV-Saldo,Betrieblich,MW,-346.772,0.0,0.0,0.0
01.01.2026,UTC,12:30,12:45,NRV-Saldo,Betrieblich,MW,122.125,0.0,0.0,0.0
01.01.2026,UTC,12:45,13:00,NRV-Saldo,Betrieblich,MW,360.049,0.0,0.0,0.0
01.01.2026,UTC,13:00,13:15,NRV-Saldo,Betrieblich,MW,209.458,0.0,0.0,0.0
01.01.2026,UTC,13:15,13:30,NRV-Saldo,Betrieblich,MW,1004.1,0.0,0.0,0.0
01.01.2026,UTC,13:30,13:45,NRV-Saldo,Betrieblich,MW,945.387,0.0,0.0,0.0
01.01.2026,UTC,13:45,14:00,NRV-Saldo,Betrieblich,MW,961.084,0.0,0.0,0.0
01.01.2026,UTC,14:00,14:15,NRV-Saldo,Betrieblich,MW,1218.982,0.0,0.0,0.0
01.01.2026,UTC,14:15,14:30,NRV-Saldo,Betrieblich,MW,1328.886,0.0,0.0,0.0
01.01.2026,UTC,14:30,14:45,NRV-Saldo,Betrieblich,MW,471.819,0.0,0.0,0.0
01.01.2026,UTC,14:45,15:00,NRV-Saldo,Betrieblich,MW,372.393,0.0,0.0,0.0
01.01.2026,UTC,15:00,15:15,NRV-Saldo,Betrieblich,MW,197.166,0.0,0.0,0.0
01.01.2026,UTC,15:15,15:30,NRV-Saldo,Betrieblich,MW,363.217,0.0,0.0,0.0
01.01.2026,UTC,15:30,15:45,NRV-Saldo,Betrieblich,MW,236.788,0.0,0.0,0.0
01.01.2026,UTC,15:45,16:00,NRV-Saldo,Betrieblich,MW,-129.063,0.0,0.0,0.0
01.01.2026,UTC,16:00,16:15,NRV-Saldo,Betrieblich,MW,116.551,0.0,0.0,0.0
01.01.2026,UTC,16:15,16:30,NRV-Saldo,Betrieblich,MW,99.909,0.0,0.0,0.0
01.01.2026,UTC,16:30,16:45,NRV-Saldo,Betrieblich,MW,651.449,0.0,0.0,0.0
01.01.2026,UTC,16:45,17:00,NRV-Saldo,Betrieblich,MW,1146.665,0.0,0.0,0.0
01.01.2026,UTC,17:00,17:15,NRV-Saldo,Betrieblich,MW,1203.828,0.0,0.0,0.0
01.01.2026,UTC,17:15,17:30,NRV-Saldo,Betrieblich,MW,1076.849,0.0,0.0,0.0
01.01.2026,UTC,17:30,17:45,NRV-Saldo,Betrieblich,MW,811.432,0.0,0.0,0.0
01.01.2026,UTC,17:45,18:00,NRV-Saldo,Betrieblich,MW,650.161,0.0,0.0,0.0
01.01.2026,UTC,18:00,18:15,NRV-Saldo,Betrieblich,MW,483.153,0.0,0.0,0.0
01.01.2026,UTC,18:15,18:30,NRV-Saldo,Betrieblich,MW,-190.587,0.0,0.0,0.0
01.01.2026,UTC,18:30,18:45,NRV-Saldo,Betrieblich,MW,-61.652,0.0,0.0,0.0
01.01.2026,UTC,18:45,19:00,NRV-Saldo,Betrieblich,MW,151.385,0.0,0.0,0.0
01.01.2026,UTC,19:00,19:15,NRV-Saldo,Betrieblich,MW,75.093,0.0,0.0,0.0
01.01.2026,UTC,19:15,19:30,NRV-Saldo,Betrieblich,MW,-111.173,0.0,0.0,0.0
01.01.2026,UTC,19:30,19:45,NRV-Saldo,Betrieblich,MW,-459.683,0.0,0.0,0.0
01.01.2026,UTC,19:45,20:00,NRV-Saldo,Betrieblich,MW,-18.559,0.0,0.0,0.0
01.01.2026,UTC,20:00,20:15,NRV-Saldo,Betrieblich,MW,1110.139,0.0,0.0,0.0
01.01.2026,UTC,20:15,20:30,NRV-Saldo,Betrieblich,MW,608.899,0.0,0.0,0.0
01.01.2026,UTC,20:30,20:45,NRV-Saldo,Betrieblich,MW,716.669,0.0,0.0,0.0
01.01.2026,UTC,20:45,21:00,NRV-Saldo,Betrieblich,MW,693.971,0.0,0.0,0.0
01.01.2026,UTC,21:00,21:15,NRV-Saldo,Betrieblich,MW,535.094,0.0,0.0,0.0
01.01.2026,UTC,21:15,21:30,NRV-Saldo,Betrieblich,MW,160.686,0.0,0.0,0.0
01.01.2026,UTC,21:30,21:45,NRV-Saldo,Betrieblich,MW,14.161,0.0,0.0,0.0
01.01.2026,UTC,21:45,22:00,NRV-Saldo,Betrieblich,MW,-142.183,0.0,0.0,0.0
01.01.2026,UTC,22:00,22:15,NRV-Saldo,Betrieblich,MW,726.565,0.0,0.0,0.0
01.01.2026,UTC,22:15,22:30,NRV-Saldo,Betrieblich,MW,533.413,0.0,0.0,0.0
01.01.2026,UTC,22:30,22:45,NRV-Saldo,Betrieblich,MW,551.546,0.0,0.0,0.0
01.01.2026,UTC,22:45,23:00,NRV-Saldo,Betrieblich,MW,57.079,0.0,0.0,0.0
01.01.2026,UTC,23:00,23:15,NRV-Saldo,Betrieblich,MW,1207.729,0.0,0.0,0.0
01.01.2026,UTC,23:15,23:30,NRV-Saldo,Betrieblich,MW,768.007,0.0,0.0,0.0
01.01.2026,UTC,23:30,23:45,NRV-Saldo,Betrieblich,MW,512.96,0.0,0.0,0.0
01.01.2026,UTC,23:45,00:00,NRV-Saldo,Betrieblich,MW,-99.616,0.0,0.0,0.0
02.01.2026,UTC,00:00,00:15,NRV-Saldo,Betrieblich,MW,-47.326,0.0,0.0,0.0
02.01.2026,UTC,00:15,00:30,NRV-Saldo,Betrieblich,MW,15.611,0.0,0.0,0.0
02.01.2026,UTC,00:30,00:45,NRV-Saldo,Betrieblich,MW,62.14,0.0,0.0,0.0
02.01.2026,UTC,00:45,01:00,NRV-Saldo,Betrieblich,MW,318.388,0.0,0.0,0.0
02.01.2026,UTC,01:00,01:15,NRV-Saldo,Betrieblich,MW,133.528,0.0,0.0,0.0
02.01.2026,UTC,01:15,01:30,NRV-Saldo,Betrieblich,MW,-98.845,0.0,0.0,0.0
02.01.2026,UTC,01:30,01:45,NRV-Saldo,Betrieblich,MW,-117.953,0.0,0.0,0.0
02.01.2026,UTC,01:45,02:00,NRV-Saldo,Betrieblich,MW,28.491,0.0,0.0,0.0
02.01.2026,UTC,02:00,02:15,NRV-Saldo,Betrieblich,MW,645.662,0.0,0.0,0.0
02.01.2026,UTC,02:15,02:30,NRV-Saldo,Betrieblich,MW,265.087,0.0,0.0,0.0
02.01.2026,UTC,02:30,02:45,NRV-Saldo,Betrieblich,MW,374.553,0.0,0.0,0.0
